iata,name,city,country,lat,lon
OZC,Labo Airport,Ozamiz,PH,8.17851,123.842003
OZG,Zagora Airport,Zagora,MA,30.265788,-5.860808
OZZ,Ouarzazate International Airport,Ouarzazate,MA,30.9391,-6.90943
PAB,Bilaspur Airport,Bilaspur,IN,21.9884,82.111
PAC,Marcos A. Gelabert International Airport,Albrook,PA,8.97334,-79.555603
PAD,Paderborn Lippstadt Airport,Büren,DE,51.612527,8.617459
PAE,Seattle Paine Field International Airport,Everett,US,47.9063,-122.281998
PAG,Pagadian Airport,Pagadian,PH,7.825632,123.459635
PAH,Barkley Regional Airport,Paducah,US,37.06079864501953,-88.7738037109375
PAP,Toussaint Louverture International Airport,Port-au-Prince,HT,18.580023,-72.292596
PAS,Paros National Airport,Paros,GR,37.020495,25.113195
PAT,Jay Prakash Narayan Airport,Patna,IN,25.591299,85.087997
PAV,Paulo Afonso Airport,Paulo Afonso,BR,-9.40088,-38.250599
PAZ,El Tajín National Airport,Poza Rica,MX,20.6026992798,-97.4608001709
PBC,Hermanos Serdán International Airport,Puebla,MX,19.158465,-98.371582
PBD,Porbandar Airport,Porbandar,IN,21.649524,69.656405
PBG,Plattsburgh International Airport,Plattsburgh,US,44.650902,-73.468102
PBH,Paro International Airport,Paro,BT,27.4032,89.424599
PBI,Palm Beach International Airport,West Palm Beach,US,26.683201,-80.095596
PBJ,Tavie Airport,Paama Island,VU,-16.431955,168.235511
PBM,Johan Adolf Pengel International Airport,Zandery,SR,5.45283,-55.187801
PBO,Paraburdoo Airport,Paraburdoo,AU,-23.1711006165,117.745002747
PBR,Puerto Barrios Airport,Puerto Barrios,GT,15.7309,-88.583801
PBU,Putao Airport,Putao,MM,27.32990074157715,97.42630004882812
PCL,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PE,-8.378064,-74.574495
PCN,Picton Aerodrome,Koromiko,NZ,-41.346099853516,173.95599365234
PCP,Principe Airport,São Tomé & Príncipe,ST,1.661155,7.411081
PCR,German Olano Airport,Puerto Carreño,CO,6.18472,-67.4932
PDA,Obando Cesar Gaviria Trujillo Airport,Puerto Inírida,CO,3.85353,-67.9062
PDB,Pedro Bay Airport,Pedro Bay,US,59.796925,-154.129994
PDG,Minangkabau International Airport,Padang (Katapiang),ID,-0.785964,100.280384
PDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
PDL,João Paulo II Airport,Ponta Delgada,PT,37.7411994934,-25.6979007721
PDM,Capt. J. Montenegro Airport,Pedasí,PA,7.534801,-80.043347
PDO,Pendopo Airport,Talang Gudang-Sumatra Island,ID,-3.2860701084136963,103.87999725341795
PDP,Capitan Corbeta CA Curbelo International Airport,Punta del Este,UY,-34.855099,-55.094299
PDS,Piedras Negras International Airport,Piedras Negras,MX,28.627873,-100.53524
PDT,Eastern Oregon Regional Airport at Pendleton,Pendleton,US,45.695099,-118.841003
PDV,Plovdiv International Airport,Plovdiv,BG,42.067799,24.8508
PDX,Portland International Airport,Portland,US,45.588699,-122.598
PED,Pardubice Airport,Pardubice,CZ,50.015049,15.73981
PEE,Perm International Airport,Perm,RU,57.914501,56.021198
PEG,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia (PG),IT,43.095901,12.5132
PEI,Matecaña International Airport,Pereira,CO,4.81267,-75.7395
PEK,Beijing Capital International Airport,Beijing,CN,40.080101013183594,116.58499908447266
PEM,Padre Aldamiz International Airport,Puerto Maldonado,PE,-12.6135997772,-69.2285995483
PEN,Penang International Airport,Penang,MY,5.296303,100.276185
PER,Perth International Airport,Perth,AU,-31.94029998779297,115.96700286865234
PES,Petrozavodsk Airport,Petrozavodsk,RU,61.885201,34.154701
PET,João Simões Lopes Neto International Airport,Pelotas,BR,-31.717189,-52.327796
PEU,Puerto Lempira Airport,Puerto Lempira,HN,15.2622,-83.781197
PEV,Pécs-Pogány International Airport,Pécs,HU,45.988891,18.242044
PEW,Bacha Khan International Airport,Peshawar,PK,33.9939,71.514603
PEX,Pechora Airport,Pechora,RU,65.121101,57.130798
PEZ,Penza Airport,Penza,RU,53.110599517822266,45.02109909057617
PFB,Lauro Kurtz Airport,Passo Fundo,BR,-28.243976,-52.32777
PFO,Paphos International Airport,Paphos,CY,34.717999,32.485699
PFQ,Parsabad-Moghan Airport,Parsabad,IR,39.6036,47.8815
PFR,Ilebo Airport,Ilebo,CD,-4.329919,20.590124
PGA,Page Municipal Airport,Page,US,36.924234,-111.447716
PGD,Punta Gorda Airport,Punta Gorda,US,26.9202,-81.990501
PGF,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,FR,42.740398,2.87067
PGH,Pantnagar Airport,Pantnagar,IN,29.0334,79.473701
PGK,Depati Amir Airport,Pangkal Pinang,ID,-2.1622,106.139
PGM,Port Graham Airport,Port Graham,US,59.348355,-151.830025
PGU,Persian Gulf International Airport,Khiyaroo,IR,27.379601,52.737701
PGV,Pitt-Greenville Airport,Greenville,US,35.635535,-77.384262
PGZ,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,BR,-25.184476,-50.143822
PHB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,Parnaíba,BR,-2.89375,-41.731998
PHC,Port Harcourt International Airport,Port Harcourt,NG,5.01549,6.94959
PHE,Port Hedland International Airport,Port Hedland,AU,-20.382787,118.629789
PHF,Newport News Williamsburg International Airport,Newport News,US,37.131901,-76.492996
PHG,Port Harcourt City Airport / Port Harcourt Air Force Base,Port Harcourt,NG,4.846111,7.021389
PHH,Pokhara International Airport,Pokhara,NP,28.1838,84.0147
PHL,Philadelphia International Airport,Philadelphia,US,39.871899,-75.241096
PHO,Point Hope Airport,Point Hope,US,68.348801,-166.798996
PHS,Phitsanulok Airport,Phitsanulok,TH,16.7829,100.278999
PHW,Hendrik Van Eck Airport,Phalaborwa,ZA,-23.9372005463,31.1553993225
PHX,Phoenix Sky Harbor International Airport,Phoenix,US,33.435302,-112.005905
PHY,Phetchabun Airport,,TH,16.6760005951,101.194999695
PIA,General Wayne A. Downing Peoria International Airport,Peoria,US,40.663841,-89.692631
PIB,Hattiesburg Laurel Regional Airport,Moselle,US,31.4671,-89.337097
PIE,St. Petersburg Clearwater International Airport,Pinellas Park,US,27.9102,-82.687401
PIF,Pingtung Air Force Base North,Pingtung,TW,22.700199,120.482002
PIH,Pocatello Regional Airport,Pocatello,US,42.9098014831543,-112.59600067138672
PIK,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,55.501499,-4.577182
PIP,Pilot Point Airport,Pilot Point,US,57.580399,-157.572006
PIR,Pierre Regional Airport,Pierre,US,44.38270187,-100.2860031
PIS,Poitiers-Biard Airport,Poitiers/Biard,FR,46.5877,0.306666
PIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
PIU,PAF Captain Guillermo Concha Iberico International Airport,Piura,PE,-5.20575,-80.616402
PIX,Pico Airport,Pico Island,PT,38.554298,-28.441299
PIZ,Point Lay LRRS Airport,Point Lay,US,69.732903,-163.005005
PJA,Pajala Airport,Pajala,SE,67.244569,23.074894
PJM,Puerto Jimenez Airport,Puerto Jimenez,CR,8.533329963684082,-83.30000305175781
PKA,Napaskiak Airport,Napaskiak,US,60.7029,-161.778
PKB,Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),US,39.3451,-81.439201
PKC,Yelizovo Airport,Petropavlovsk-Kamchatsky,RU,53.168716,158.451068
PKE,Parkes Airport,Parkes,AU,-33.131401062,148.238998413
PKG,Pulau Pangkor Airport,Pangkor Island,MY,4.244719982147217,100.5530014038086
PKN,Iskandar Airport,Pangkalanbun,ID,-2.7052,111.672997
PKP,Puka Puka Airport,,PF,-14.80955,-138.812621
PKR,Pokhara Domestic Airport,Pokhara,NP,28.200621,83.981203
PKU,Sultan Syarif Kasim II International Airport / Roesmin Nurjadin AFB,Pekanbaru,ID,0.458647,101.444321
PKV,Princess Olga Pskov International Airport,Pskov,RU,57.781316,28.39384
PKX,Beijing Daxing International Airport,Beijing,CN,39.501289,116.413967
PKY,Tjilik Riwut Airport,Palangkaraya,ID,-2.227146,113.943388
PKZ,Pakse International Airport,Pakse,LA,15.133973,105.779871
PLJ,Placencia Airport,Placencia,BZ,16.536957,-88.361511
PLM,Sultan Mahmud Badaruddin II Airport,Palembang,ID,-2.897653,104.698147
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,US,45.57089996,-84.79669952
PLO,Port Lincoln Airport,Port Lincoln,AU,-34.6053009033,135.880004883
PLQ,Palanga International Airport,Palanga,LT,55.973202,21.093901
PLS,Providenciales International Airport,Providenciales,TC,21.773697,-72.268321
PLW,Mutiara - SIS Al-Jufrie Airport,Palu,ID,-0.916462,119.908647
PLX,Semei International Airport,Semey,KZ,50.351295,80.234398
PLZ,Chief Dawid Stuurman International Airport,Gqeberha (Port Elizabeth),ZA,-33.989715,25.617353
PMC,El Tepual International Airport,Puerto Montt,CL,-41.443093,-73.094065
PMF,Parma Airport,Parma (PR),IT,44.826351,10.29705
PMG,Ponta Porã Airport,Ponta Porã,BR,-22.549601,-55.702599
PMI,Palma de Mallorca Airport,Palma de Mallorca,ES,39.551701,2.73881
PMK,Palm Island Airport,,AU,-18.755300521850582,146.58099365234375
PMO,Falcone–Borsellino Airport,Palermo,IT,38.175999,13.091
PMQ,Perito Moreno Jalil Hamer Airport,Perito Moreno,AR,-46.537899,-70.978699
PMR,Palmerston North Airport,Palmerston North,NZ,-40.320599,175.617004
PMV,Del Caribe Santiago Mariño International Airport,Isla Margarita,VE,10.912603,-63.966599
PMW,Brigadeiro Lysias Rodrigues Airport,Palmas,BR,-10.2915,-48.356998
PMY,El Tehuelche Airport,Puerto Madryn,AR,-42.7592,-65.1027
PNA,Pamplona Airport,Pamplona,ES,42.77,-1.64633
PND,Punta Gorda Airport,Punta Gorda,BZ,16.1024,-88.808296
PNI,Pohnpei International Airport,Pohnpei Island,FM,6.985082,158.20992
PNK,Supadio International Airport,Pontianak,ID,-0.153023,109.404708
PNL,Pantelleria Airport,Pantelleria (TP),IT,36.816502,11.9689
PNP,Girua Airport,Popondetta,PG,-8.80453968048,148.309005737
PNQ,Pune International Airport,Pune,IN,18.5821,73.919701
PNR,Antonio Agostinho-Neto International Airport,Pointe Noire,CG,-4.81603,11.8866
PNS,Pensacola International Airport,Pensacola,US,30.472718,-87.186639
PNT,Lieutenant Julio Gallardo Airport,Puerto Natales,CL,-51.67067,-72.529078
